date,hour,price,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2024-05-18,21,298.19,83.33333333333333,0.0,0.0,16.88888888888889,7.444444444444445
2024-05-18,22,193.31,82.77777777777777,0.0,0.0,16.422222222222224,7.211111111111112
2024-05-18,23,185.8,87.22222222222223,0.0,0.0,15.722222222222221,7.111111111111111
2024-05-19,0,173.25,93.88888888888889,0.0,0.0,15.799999999999999,7.022222222222222
2024-05-19,1,167.83,91.22222222222223,0.0,0.0,15.877777777777778,7.000000000000001
2024-05-19,2,166.54,89.44444444444444,0.0,0.2222222222222222,15.077777777777776,7.544444444444445
2024-05-19,3,162.76,100.0,0.0,0.15555555555555556,15.211111111111109,6.5
2024-05-19,4,160.81,99.44444444444444,0.0,0.23333333333333334,15.18888888888889,6.4111111111111105
2024-05-19,5,150.87,99.88888888888889,0.30000000000000004,0.47777777777777775,15.0,5.344444444444444
2024-05-19,6,141.6,99.88888888888889,18.599999999999998,0.47777777777777775,15.011111111111111,8.000000000000002
2024-05-19,7,134.46,99.77777777777777,53.06666666666666,0.47777777777777786,15.366666666666667,8.777777777777779
2024-05-19,8,97.69,99.77777777777777,112.84444444444445,0.6555555555555556,15.855555555555558,8.655555555555555
2024-05-19,9,114.81,100.0,159.00000000000003,0.6222222222222222,16.255555555555553,9.355555555555558
2024-05-19,10,114.81,100.0,219.8111111111111,0.5333333333333333,16.666666666666668,9.299999999999999
2024-05-19,11,65.4,100.0,230.0888888888889,0.1888888888888889,17.066666666666666,8.88888888888889
2024-05-19,12,70.74,96.22222222222223,239.63333333333333,0.21111111111111114,17.4,8.822222222222223
2024-05-19,13,73.95,98.0,300.6,0.27777777777777785,17.855555555555554,9.066666666666666
2024-05-19,14,97.79,90.55555555555556,334.4555555555555,0.2,18.255555555555556,9.68888888888889
2024-05-19,15,114.83,88.33333333333333,288.1222222222222,0.022222222222222223,17.799999999999997,7.377777777777778
2024-05-19,16,150.6,79.33333333333333,285.61111111111114,0.0,18.299999999999997,6.644444444444444
2024-05-19,17,166.25,84.66666666666667,233.28888888888892,0.011111111111111112,18.37777777777778,6.811111111111111
2024-05-19,18,176.9,85.66666666666667,148.89999999999998,0.0,18.077777777777776,8.022222222222222
2024-05-19,19,230.67,78.33333333333333,54.58888888888889,0.0,17.155555555555555,6.7555555555555555
2024-05-19,20,323.79,65.77777777777777,8.355555555555554,0.011111111111111112,16.022222222222226,6.211111111111112
2024-05-19,21,243.13,75.11111111111111,0.0,0.022222222222222223,15.455555555555557,6.066666666666667
2024-05-19,22,194.23,94.0,0.0,0.022222222222222223,14.777777777777779,5.766666666666667
2024-05-19,23,164.74,95.55555555555556,0.0,0.011111111111111112,14.533333333333335,5.466666666666666
2024-05-20,0,176.67,93.44444444444444,0.0,0.0,14.311111111111112,5.888888888888889
2024-05-20,1,167.13,98.77777777777777,0.0,0.011111111111111112,13.899999999999999,5.822222222222222
2024-05-20,2,160.67,100.0,0.0,0.0,14.055555555555555,5.055555555555555
2024-05-20,3,159.75,96.11111111111111,0.0,0.0,14.21111111111111,3.633333333333333
2024-05-20,4,163.76,92.77777777777777,0.0,0.0,13.844444444444445,4.6
2024-05-20,5,174.17,95.0,0.30000000000000004,0.07777777777777778,14.11111111111111,4.0
2024-05-20,6,199.14,92.66666666666667,20.755555555555556,0.07777777777777778,14.455555555555556,5.466666666666665
2024-05-20,7,225.33,92.11111111111111,75.10000000000001,0.1888888888888889,15.066666666666666,6.8999999999999995
2024-05-20,8,170.1,96.88888888888889,151.06666666666666,0.16666666666666666,15.700000000000001,6.677777777777778
2024-05-20,9,214.01,97.44444444444444,245.7444444444444,0.18888888888888888,16.555555555555557,7.6000000000000005
2024-05-20,10,156.19,96.44444444444444,318.7555555555556,0.1,17.422222222222224,8.600000000000001
2024-05-20,11,114.81,96.33333333333333,372.0,0.14444444444444446,18.03333333333333,9.644444444444444
2024-05-20,12,114.81,95.33333333333333,431.9555555555555,0.3222222222222222,18.61111111111111,10.033333333333335
2024-05-20,13,114.83,98.22222222222223,523.6222222222223,0.35555555555555557,19.444444444444443,9.91111111111111
2024-05-20,14,136.5,90.33333333333333,443.70000000000005,0.24444444444444446,19.633333333333333,10.38888888888889
2024-05-20,15,140.62,75.66666666666667,404.27777777777777,0.03333333333333334,19.766666666666666,11.022222222222222
2024-05-20,16,176.9,84.66666666666667,434.94444444444446,0.022222222222222223,20.044444444444444,11.422222222222222
2024-05-20,17,204.64,79.66666666666667,275.41111111111115,0.0,19.700000000000003,10.755555555555555
2024-05-20,18,205.09,66.0,163.81111111111113,0.0,19.211111111111116,10.411111111111111
2024-05-20,19,276.08,58.666666666666664,58.03333333333333,0.0,18.155555555555555,8.666666666666664
2024-05-20,20,278.59,56.333333333333336,9.28888888888889,0.0,16.688888888888886,8.144444444444442
2024-05-20,21,241.25,52.44444444444444,0.0,0.0,16.255555555555556,8.022222222222222
2024-05-20,22,197.68,58.77777777777778,0.0,0.0,15.866666666666667,8.411111111111111
2024-05-20,23,178.88,53.22222222222222,0.0,0.0,15.077777777777776,8.122222222222222
2024-05-21,0,173.91,52.333333333333336,0.0,0.0,14.699999999999998,8.077777777777778
2024-05-21,1,158.75,55.44444444444444,0.0,0.0,14.233333333333333,7.977777777777779
2024-05-21,2,154.08,57.888888888888886,0.0,0.0,13.777777777777779,7.266666666666666
2024-05-21,3,154.94,53.0,0.0,0.011111111111111112,13.566666666666665,5.588888888888889
2024-05-21,4,157.64,60.55555555555556,0.0,0.0,13.266666666666667,5.877777777777777
2024-05-21,5,159.4,59.77777777777778,0.4,0.0,13.022222222222222,5.566666666666666
2024-05-21,6,204.78,44.44444444444444,28.08888888888889,0.0,13.855555555555558,6.733333333333333
2024-05-21,7,233.57,34.888888888888886,113.62222222222222,0.0,15.333333333333334,7.2555555555555555
2024-05-21,8,185.26,36.888888888888886,286.83333333333326,0.0,16.77777777777778,9.011111111111111
2024-05-21,9,165.21,40.0,468.27777777777766,0.0,18.11111111111111,10.200000000000001
2024-05-21,10,135.75,45.888888888888886,634.9333333333333,0.0,19.4,11.377777777777776
2024-05-21,11,90.65,44.0,774.7777777777778,0.0,20.62222222222222,12.81111111111111
2024-05-21,12,69.9,46.666666666666664,845.9222222222223,0.0,21.62222222222222,13.633333333333333
2024-05-21,13,95.64,43.111111111111114,842.1777777777777,0.0,22.422222222222224,14.811111111111112
2024-05-21,14,115.32,58.111111111111114,761.688888888889,0.0,22.78888888888889,15.066666666666666
2024-05-21,15,144.22,46.77777777777778,646.5666666666667,0.0,22.244444444444447,14.233333333333333
2024-05-21,16,165.01,45.333333333333336,533.6555555555556,0.0,22.277777777777775,15.000000000000004
2024-05-21,17,181.38,61.333333333333336,364.5444444444445,0.0,21.788888888888884,14.58888888888889
2024-05-21,18,194.14,50.0,168.73333333333332,0.2777777777777778,20.5,12.5
2024-05-21,19,277.69,73.33333333333333,51.99999999999999,0.24444444444444446,19.144444444444442,12.155555555555555
2024-05-21,20,340.47,66.77777777777777,10.0,0.0,17.733333333333334,9.144444444444444
2024-05-21,21,229.99,68.44444444444444,0.0,0.0,17.344444444444445,8.477777777777778
2024-05-21,22,189.91,68.66666666666667,0.0,0.3333333333333333,16.700000000000003,7.822222222222223
2024-05-21,23,176.9,54.888888888888886,0.0,0.15555555555555556,15.92222222222222,8.022222222222222
2024-05-22,0,161.45,63.666666666666664,0.0,0.0,15.52222222222222,7.333333333333333
2024-05-22,1,155.63,41.888888888888886,0.0,0.6333333333333333,15.22222222222222,6.933333333333333
2024-05-22,2,137.79,29.77777777777778,0.0,2.011111111111111,14.56666666666667,6.9111111111111105
2024-05-22,3,145.01,32.22222222222222,0.0,0.0,15.044444444444444,4.811111111111112
2024-05-22,4,151.69,28.77777777777778,0.0,0.0,14.688888888888888,4.122222222222223
2024-05-22,5,169.77,32.333333333333336,0.4,0.0,14.244444444444444,5.288888888888888
